,cid,smiles
38,2315,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
39,5311001,OCC=C1[C@@H]2C[C@@H]3[N+](CC[C@@]43[C@H]3N(C=C5[C@@H]6N(C=C23)c2c([C@@]36[C@H]6[N+](CC3)(CC(=CCO)[C@@H]5C6)CC=C)cccc2)c2c4cccc2)(C1)CC=C
40,5311000,Cl[C@H]1[C@H]2[C@H]3[C@@]([C@](O)([C@@H](C3)C)C(=O)CO)(C[C@H](O)[C@@H]2[C@@]2(C(=CC(=O)C=C2)C1)C)C
41,5360373,s1c(nc(c1)c1scc(n1)C(=O)NCCC[S+](C)C)CCNC(=O)[C@@H](NC(=O)[C@H]([C@H](O)[C@H](NC(=O)[C@@H](NC(=O)c1nc(nc(N)c1C)[C@@H](NC[C@H](N)C(=O)N)CC(=O)N)[C@@H](OC1OC(C(O)C(O)C1OC1OC(C(O)C(OC(=O)N)C1O)CO)CO)c1[nH]cnc1)C)C)[C@H](O)C
42,5857,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
43,5850,[N+]1(CCCC1)(CCCCC[N+]1(CCCC1)C)C
44,5280805,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
45,5852,[H][C@](N)(C(O)=O)C(C)(C)S
46,60825,NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1
47,297,C
48,60823,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1
49,448812,S1SCCC(=O)N[C@@H](CCCCN=C(N)N)C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N2[C@@H](CCC2)C(=O)N[C@@H](C1)C(=O)N)Cc1c2c([nH]c1)cccc2)CC(=O)O
50,21102,CC(=O)NC1=CC=C(OC(=O)C2=CC=CC=C2OC(C)=O)C=C1
51,3776,CC(C)O
52,3775,CC(C)[N+](C)(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=C1)C(C)C
53,21109,COC1=C(OC)C(OC)=C(CN2CCNCC2)C=C1
54,3779,CC(C)NCC(O)C1=CC(O)=C(O)C=C1
55,3778,c1(c(=O)n(n(c1C)C)c1ccccc1)C(C)C
56,16490,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
57,121891,O=C(N1C[C@@H]2[C@H](C1)CCCC2)C[C@H](Cc1ccccc1)C(=O)O
58,19972,O([C@@]12N(C[C@@H]3N[C@H]13)C1=C([C@H]2COC(=O)N)C(=O)C(=C(C1=O)C)OC)C
59,5362440,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12
60,56603701,O(C1C([C@H]2[C@@]([C@@H]3[C@]([C@]4(C(=C5[C@@](CC4)(CCC(C5)(C)C)C(=O)O)CC3)C)(CC2)C)(CC1)C)(C)C)[C@@H]1O[C@@H]([C@@H](O)[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)CC2)[C@H]1O)C(=O)O
61,4688,CN(CC#C)CC1=CC=CC=C1
62,65477,Clc1ccc(CC(N)(C)C)cc1.Cl
63,16211978,[O--].[O--].[O--].[O--].[Fe++].[Fe+3].[Fe+3]
64,5284583,CC[C@H](N1CCCC1=O)C(N)=O
65,5284585,N[C@@H](C(=O)N[C@H]1[C@H]2CCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1
66,5284587,[H][C@]1(C)C[C@@]2([H])[C@]3([H])CCC4=CC(=O)C=C[C@]4(C)[C@@]3([H])C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO
67,3086674,[H][C@]12CC[C@]([H])([C@H]([C@H](C1)C1=CC=C([123I])C=C1)C(=O)OC)N2CCCF
